,id,maxLat,minLat,maxLong,minLong
0,0,-23.8119229,-23.8209229,-46.9531433,-46.9621433
1,1,-23.8119229,-23.8209229,-46.9441433,-46.9531433
2,2,-23.8119229,-23.8209229,-46.9351433,-46.9441433
3,3,-23.8119229,-23.8209229,-46.9261433,-46.9351433
4,4,-23.8119229,-23.8209229,-46.9171433,-46.9261433
5,5,-23.8119229,-23.8209229,-46.9081433,-46.9171433
6,6,-23.8119229,-23.8209229,-46.8991433,-46.9081433
7,7,-23.8119229,-23.8209229,-46.8901433,-46.8991433
8,8,-23.8119229,-23.8209229,-46.8811433,-46.8901433
9,9,-23.8119229,-23.8209229,-46.8721433,-46.8811433
10,10,-23.8119229,-23.8209229,-46.8631433,-46.8721433
11,11,-23.8119229,-23.8209229,-46.8541433,-46.8631433
12,12,-23.8119229,-23.8209229,-46.8451433,-46.8541433
13,13,-23.8119229,-23.8209229,-46.836143299999996,-46.8451433
14,14,-23.8119229,-23.8209229,-46.827143299999996,-46.836143299999996
15,15,-23.8119229,-23.8209229,-46.818143299999996,-46.827143299999996
16,16,-23.8119229,-23.8209229,-46.809143299999995,-46.818143299999996
17,17,-23.8119229,-23.8209229,-46.800143299999995,-46.809143299999995
18,18,-23.8119229,-23.8209229,-46.791143299999995,-46.800143299999995
19,19,-23.8119229,-23.8209229,-46.782143299999994,-46.791143299999995
20,20,-23.8119229,-23.8209229,-46.773143299999994,-46.782143299999994
21,21,-23.8119229,-23.8209229,-46.76414329999999,-46.773143299999994
22,22,-23.8119229,-23.8209229,-46.75514329999999,-46.76414329999999
23,23,-23.8119229,-23.8209229,-46.74614329999999,-46.75514329999999
24,24,-23.8119229,-23.8209229,-46.73714329999999,-46.74614329999999
25,25,-23.8119229,-23.8209229,-46.72814329999999,-46.73714329999999
26,26,-23.8119229,-23.8209229,-46.71914329999999,-46.72814329999999
27,27,-23.8119229,-23.8209229,-46.71014329999999,-46.71914329999999
28,28,-23.8119229,-23.8209229,-46.70114329999999,-46.71014329999999
29,29,-23.8119229,-23.8209229,-46.69214329999999,-46.70114329999999
30,30,-23.8119229,-23.8209229,-46.68314329999999,-46.69214329999999
31,31,-23.8119229,-23.8209229,-46.67414329999999,-46.68314329999999
32,32,-23.8119229,-23.8209229,-46.66514329999999,-46.67414329999999
33,33,-23.8119229,-23.8209229,-46.65614329999999,-46.66514329999999
34,34,-23.8119229,-23.8209229,-46.64714329999999,-46.65614329999999
35,35,-23.8119229,-23.8209229,-46.63814329999999,-46.64714329999999
36,36,-23.8119229,-23.8209229,-46.62914329999999,-46.63814329999999
37,37,-23.8119229,-23.8209229,-46.62014329999999,-46.62914329999999
38,38,-23.8119229,-23.8209229,-46.61114329999999,-46.62014329999999
39,39,-23.8119229,-23.8209229,-46.60214329999999,-46.61114329999999
40,40,-23.8119229,-23.8209229,-46.59314329999999,-46.60214329999999
41,41,-23.8119229,-23.8209229,-46.58414329999999,-46.59314329999999
42,42,-23.8119229,-23.8209229,-46.575143299999986,-46.58414329999999
43,43,-23.8119229,-23.8209229,-46.566143299999986,-46.575143299999986
44,44,-23.8119229,-23.8209229,-46.557143299999986,-46.566143299999986
45,45,-23.8119229,-23.8209229,-46.548143299999985,-46.557143299999986
46,46,-23.8119229,-23.8209229,-46.539143299999985,-46.548143299999985
47,47,-23.8119229,-23.8209229,-46.530143299999985,-46.539143299999985
48,48,-23.8119229,-23.8209229,-46.521143299999984,-46.530143299999985
49,49,-23.8119229,-23.8209229,-46.512143299999984,-46.521143299999984
50,50,-23.8119229,-23.8209229,-46.503143299999984,-46.512143299999984
51,51,-23.8119229,-23.8209229,-46.49414329999998,-46.503143299999984
52,52,-23.8119229,-23.8209229,-46.48514329999998,-46.49414329999998
53,53,-23.8119229,-23.8209229,-46.47614329999998,-46.48514329999998
